epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.3854,2.54975,2.40031,1.96524,0.02212,0.01946,0.00951,0.00409,3.86724,6.2505,2.22479,0.08515,0.00015,0.00015
2,24.6239,2.25164,2.04455,1.786,0.01261,0.02388,0.00482,0.00171,3.55383,4.21129,1.96685,0.0693085,0.000308465,0.000308465
3,36.1998,2.13136,1.99307,1.66665,0.0308,0.02388,0.00847,0.00364,3.00648,4.33597,1.7676,0.0534653,0.000465347,0.000465347
4,46.8931,2.13461,1.92935,1.69946,0.04813,0.05971,0.01362,0.00513,3.09356,4.62158,1.68613,0.0376206,0.000620644,0.000620644
5,58.2917,2.21015,1.92653,1.71533,0.0579,0.05263,0.01601,0.00574,3.15867,4.20347,1.6815,0.0217744,0.000774358,0.000774358
6,69.7536,2.11525,1.93634,1.69797,0.05592,0.05307,0.01671,0.00553,3.09396,4.05426,1.68441,0.00592649,0.000926487,0.000926487
7,81.1671,2.10928,1.92642,1.6559,0.03699,0.04909,0.01347,0.00502,3.00742,3.86052,1.76369,0.0009703,0.0009703,0.0009703
8,92.5345,2.16064,1.86966,1.63293,0.05143,0.0513,0.01676,0.00616,3.05108,4.04472,1.77978,0.00096535,0.00096535,0.00096535
9,104.985,2.14144,1.75156,1.62111,0.07014,0.05352,0.01808,0.00677,3.12019,3.71855,1.63589,0.0009604,0.0009604,0.0009604
10,117.244,2.16448,1.82916,1.6816,0.07737,0.05705,0.02019,0.00751,3.0477,3.89833,1.56675,0.00095545,0.00095545,0.00095545
11,128.739,2.04846,1.78283,1.63565,0.05062,0.05263,0.01761,0.00711,2.90278,4.2066,1.63816,0.0009505,0.0009505,0.0009505
12,140.258,2.1161,1.82802,1.61377,0.02602,0.09067,0.01529,0.00563,3.03297,4.35954,1.80306,0.00094555,0.00094555,0.00094555
13,151.718,2.07199,1.83997,1.59394,0.03013,0.09421,0.01833,0.007,2.8882,4.37182,1.72324,0.0009406,0.0009406,0.0009406
14,163.092,2.07214,1.75622,1.617,0.02225,0.07607,0.01404,0.0056,2.92911,4.20075,1.71544,0.00093565,0.00093565,0.00093565
15,175.277,2.13232,1.84673,1.63877,0.02197,0.0858,0.01287,0.00487,2.99979,4.12948,1.77462,0.0009307,0.0009307,0.0009307
16,186.668,2.06131,1.72185,1.59656,0.05949,0.03759,0.01598,0.00587,3.00719,4.01152,1.70723,0.00092575,0.00092575,0.00092575
17,199.058,2.05433,1.73221,1.54588,0.02574,0.12295,0.01736,0.00679,2.91906,3.81631,1.71954,0.0009208,0.0009208,0.0009208
